iteration,collectionName,requestName,method,url,status,code,responseTime,responseSize,executed,failed,skipped,totalAssertions,executedCount,failedCount,skippedCount
"1","Sendinblue","Get all Companies","GET","https://api.sendinblue.com/v3/companies?filters=veniam elit in&linkedContactsIds=13396752&linkedDealsIds=veniam elit in&page=13396752&limit=13396752&sort=desc&sortBy=veniam elit in","Bad Request","400","4339","84","response must be valid and have a body","response must be json",,"2","1","1","0"
"1","Sendinblue","Create a company","POST","https://api.sendinblue.com/v3/companies","Bad Request","400","285","95","Response time is less than 500ms","Successful POST request",,"2","1","1","0"
"1","Sendinblue","Get company attributes","GET","https://api.sendinblue.com/v3/companies/attributes","Bad Request","400","374","128","Content-Type is present, Cookies should equal 1",,,"2","2","0","0"
"1","Sendinblue","Link and Unlink company with contact and deal","PATCH","https://api.sendinblue.com/v3/companies/link-unlink/veniam elit in","Bad Request","400","366","31","header should equal 18, Body matches string",,,"2","2","0","0"
"1","Sendinblue","Get a company","GET","https://api.sendinblue.com/v3/companies/veniam elit in","Bad Request","400","304","48","Your test name, Response time is above 200ms",,,"2","2","0","0"
"1","Sendinblue","Delete a company","DELETE","https://api.sendinblue.com/v3/companies/veniam elit in","Bad Request","400","314","32","Date is present","Status code is 204",,"2","1","1","0"
"1","Sendinblue","Update a company","PATCH","https://api.sendinblue.com/v3/companies/veniam elit in","Bad Request","400","292","84","response must be json, response must be valid and have a body",,,"2","2","0","0"
"1","Sendinblue","Get pipeline stages","GET","https://api.sendinblue.com/v3/crm/pipeline/details","Bad Request","400","313","84","response must be json, response must be valid and have a body",,,"2","2","0","0"
"1","Sendinblue","{{baseUrl}}/companies/:id","PATCH","https://api.sendinblue.com/v3/companies/veniam elit in","Bad Request","400","293","84","response should be string","response should be json",,"2","1","1","0"
"1","Sendinblue","Get all deals","GET","https://api.sendinblue.com/v3/crm/deals?filter[attributes]=veniam elit in&filter[linkedCompaniesIds]=veniam elit in&filter[linkedContactsIds]=veniam elit in&offset=13396752&limit=13396752&sort=desc","Bad Request","400","318","189","Connection is present, Response time is less than 500ms",,,"2","2","0","0"
"1","Sendinblue","Create a deal","POST","https://api.sendinblue.com/v3/crm/deals","Internal Server Error","500","268","84",,"Successful POST request, Status code name has string",,"2","0","2","0"
"1","Sendinblue","Link and Unlink a deal with contacts and companies","PATCH","https://api.sendinblue.com/v3/crm/deals/link-unlink/veniam elit in","Bad Request","400","307","45","Your test name, Response time is less than 600ms",,,"2","2","0","0"
"1","Sendinblue","Get deal attributes","GET","https://api.sendinblue.com/v3/crm/attributes/deals","Internal Server Error","500","721","135","Content-Type is present","Status code name has string",,"2","1","1","0"
"1","Sendinblue","Get a deal","GET","https://api.sendinblue.com/v3/crm/deals/veniam elit in","Bad Request","400","349","100","Body matches string, header should equal 20",,,"2","2","0","0"
"1","Sendinblue","Delete a deal","DELETE","https://api.sendinblue.com/v3/crm/deals/veniam elit in","Bad Request","400","290","46","header should equal 18, Cookies should equal 1",,,"2","2","0","0"
"1","Sendinblue","Update a deal","PATCH","https://api.sendinblue.com/v3/crm/deals/veniam elit in","Bad Request","400","279","46","Cookies should equal 1, Body matches string",,,"2","2","0","0"
